column_number,header_name
1,track_code
2,race_date
3,race_number
4,post_position
5,entry
6,distance
7,surface_code
9,race_type
10,claiming_price_category
11,race_class
12,purse
13,claiming_price
14,claiming_price2
15,speed_rating
16,race_conditions
17,horses_list
21,track_code2
22,race_number2
23,breed_type
24,field_size
28,trainer_name
29,trainer_starts
30,trainer_wins
31,trainer_places
32,trainer_shows
33,trainer_roi
34,jockey_name
36,jockey_starts
37,jockey_wins
38,jockey_places
39,jockey_shows
40,owner_name
41,owner_silks
44,program_number
45,odds
46,horse_name
47,age
48,sex
50,color
51,sire_color
52,weight
53,sire
54,sire_sire
55,dam
56,dam_sire
57,breeder
58,state_bred
256,recentRaceDate1
257,recentRaceDate2
258,recentRaceDate3
259,recentRaceDate4
260,recentRaceDate5
261,recentRaceDate6
262,recentRaceDate7
263,recentRaceDate8
264,recentRaceDate9
265,recentRaceDate10
276,recentRaceTrackCode1
277,recentRaceTrackCode2
278,recentRaceTrackCode3
279,recentRaceTrackCode4
280,recentRaceTrackCode5
281,recentRaceTrackCode6
282,recentRaceTrackCode7
283,recentRaceTrackCode8
284,recentRaceTrackCode9
285,recentRaceTrackCode10
286,recentRaceBrisTrackCode1
287,recentRaceBrisTrackCode2
288,recentRaceBrisTrackCode3
289,recentRaceBrisTrackCode4
290,recentRaceBrisTrackCode5
291,recentRaceBrisTrackCode6
292,recentRaceBrisTrackCode7
293,recentRaceBrisTrackCode8
294,recentRaceBrisTrackCode9
295,recentRaceBrisTrackCode10
296,recentRaceNumber1
297,recentRaceNumber2
298,recentRaceNumber3
299,recentRaceNumber4
300,recentRaceNumber5
301,recentRaceNumber6
302,recentRaceNumber7
303,recentRaceNumber8
304,recentRaceNumber9
305,recentRaceNumber10
306,recentRaceTrackCondition1
307,recentRaceTrackCondition2
308,recentRaceTrackCondition3
309,recentRaceTrackCondition4
310,recentRaceTrackCondition5
311,recentRaceTrackCondition6
312,recentRaceTrackCondition7
313,recentRaceTrackCondition8
314,recentRaceTrackCondition9
315,recentRaceTrackCondition10
316,recentSurfaceCode1
317,recentSurfaceCode2
318,recentSurfaceCode3
319,recentSurfaceCode4
320,recentSurfaceCode5
321,recentSurfaceCode6
322,recentSurfaceCode7
323,recentSurfaceCode8
324,recentSurfaceCode9
325,recentSurfaceCode10
346,recentNumEntrants1
347,recentNumEntrants2
348,recentNumEntrants3
349,recentNumEntrants4
350,recentNumEntrants5
351,recentNumEntrants6
352,recentNumEntrants7
353,recentNumEntrants8
354,recentNumEntrants9
355,recentNumEntrants10
356,recentPostPosition1
357,recentPostPosition2
358,recentPostPosition3
359,recentPostPosition4
360,recentPostPosition5
361,recentPostPosition6
362,recentPostPosition7
363,recentPostPosition8
364,recentPostPosition9
365,recentPostPosition10
566,recentStartCallPosition1
567,recentStartCallPosition2
568,recentStartCallPosition3
569,recentStartCallPosition4
570,recentStartCallPosition5
571,recentStartCallPosition6
572,recentStartCallPosition7
573,recentStartCallPosition8
574,recentStartCallPosition9
575,recentStartCallPosition10
576,recent1stCallPosition1
577,recent1stCallPosition2
578,recent1stCallPosition3
579,recent1stCallPosition4
580,recent1stCallPosition5
581,recent1stCallPosition6
582,recent1stCallPosition7
583,recent1stCallPosition8
584,recent1stCallPosition9
585,recent1stCallPosition10
606,recentStretchPosition1
607,recentStretchPosition2
608,recentStretchPosition3
609,recentStretchPosition4
610,recentStretchPosition5
611,recentStretchPosition6
612,recentStretchPosition7
613,recentStretchPosition8
614,recentStretchPosition9
615,recentStretchPosition10
616,recentFinishPosition1
617,recentFinishPosition2
618,recentFinishPosition3
619,recentFinishPosition4
620,recentFinishPosition5
621,recentFinishPosition6
622,recentFinishPosition7
623,recentFinishPosition8
624,recentFinishPosition9
625,recentFinishPosition10
846,recentBrisSpeed1
847,recentBrisSpeed2
848,recentBrisSpeed3
849,recentBrisSpeed4
850,recentBrisSpeed5
851,recentBrisSpeed6
852,recentBrisSpeed7
853,recentBrisSpeed8
854,recentBrisSpeed9
855,recentBrisSpeed10
1086,recentRaceType1
1087,recentRaceType2
1088,recentRaceType3
1089,recentRaceType4
1090,recentRaceType5
1091,recentRaceType6
1092,recentRaceType7
1093,recentRaceType8
1094,recentRaceType9
1095,recentRaceType10
1152,trainerPrevYrStarts
1153,trainerPrevYrWins
1154,trainerPrevYrPlaces
1155,trainerPrevYrShows
1162,jockeyPrevYrStarts
1163,jockeyPrevYrWins
1164,jockeyPrevYrPlaces
1165,jockeyPrevYrShows
1177,currentSireStudFee
1264,BrisDirtPedigree
1265,BrisMudPedigree
1266,BrisTurfPedigree
1267,BrisDistPedigree






